# ----------------------------------------
# All Web Site Data
# Browser & OS
# 20130814-20130913
# ----------------------------------------

Browser,Visits,Pages / Visit,Avg. Visit Duration,% New Visits,Bounce Rate
Chrome,"1,856",4.55,00:05:12,84.05%,33.30%
Firefox,612,4.18,00:05:41,80.88%,37.25%
Safari,430,2.47,00:03:33,46.98%,62.09%
Internet Explorer,141,3.44,00:04:15,91.49%,41.13%
Safari (in-app),77,1.32,00:00:07,98.70%,76.62%
Android Browser,73,1.53,00:00:44,93.15%,71.23%
Opera,19,4.58,00:04:36,94.74%,42.11%
Opera Mini,4,1.25,00:00:01,100.00%,75.00%
(not set),2,9.00,00:03:28,100.00%,0.00%
IE with Chrome Frame,2,1.50,00:00:19,100.00%,50.00%
,"3,222",4.00,00:04:47,79.52%,40.22%

Day,Visits
8/14/13,11
8/15/13,4
8/16/13,3
8/17/13,0
8/18/13,1
8/19/13,4
8/20/13,11
8/21/13,17
8/22/13,35
8/23/13,18
8/24/13,8
8/25/13,9
8/26/13,"1,567"
8/27/13,213
8/28/13,50
8/29/13,29
8/30/13,44
8/31/13,19
9/1/13,9
9/2/13,17
9/3/13,40
9/4/13,62
9/5/13,57
9/6/13,27
9/7/13,32
9/8/13,13
9/9/13,30
9/10/13,63
9/11/13,444
9/12/13,214
9/13/13,171
,"3,222"

