# ----------------------------------------
# All Web Site Data
# Location
# 20130809-20130908
# ----------------------------------------

Country / Territory,Visits,Pages / Visit,Avg. Visit Duration,% New Visits,Bounce Rate
United States,"1,549",3.97,00:04:43,75.21%,42.16%
United Kingdom,109,4.14,00:04:05,98.17%,34.86%
Canada,103,3.12,00:03:46,96.12%,47.57%
Germany,68,4.21,00:03:31,97.06%,29.41%
France,41,2.90,00:02:07,95.12%,46.34%
Brazil,38,3.66,00:03:01,92.11%,34.21%
India,38,4.18,00:05:09,92.11%,31.58%
Sweden,30,2.77,00:01:53,100.00%,50.00%
Netherlands,21,5.71,00:06:11,100.00%,23.81%
Switzerland,20,3.65,00:03:03,95.00%,45.00%
,"2,314",3.82,00:04:18,81.85%,42.31%

